7,N5,花,カ,はな,fleur
7,N4,英,エイ,はなぶさ,brillant / talentueux / Angleterre / anglais
7,N4,茶,チャ,-,thé
7,N4,菜,サイ,な,légume
7,N4,薬,ヤク,くすり,médicament
7,N5,行,コウ / ギョウ,いく / ゆく / おこなう,aller / voyage
7,N5,西,セイ,にし,Ouest
7,N5,見,ケン,みる / みえる / みせる,regarder / voir
7,N4,親,シン,おや / したしい / したしむ,parents / familié / se familiariser avec
7,N5,言,ゲン / ゴン,いう,dire / parler
8,N4,計,ケイ,はかる / はからう,mesurer / peser / penser à / traiter / gérer
8,N4,試,シ,こころみる / ためす,essayer / tenter / essai / tentative
8,N5,話,ワ,はなす / はなし,parler / histoire
8,N5,語,ゴ,かたる / かたらう,langage / mot / raconter
8,N4,説,セツ / ゼイ,とく,convaincre / persuader / opinion / rumeur
8,N5,読,ドク / トク,よむ,lire
8,N5,買,バイ,かう,acheter
8,N4,貸,タイ,かす,prêter / louer
8,N4,質,シツ,たち / ただす / もと,substance / matière / qualité
8,N4,赤,セキ,あかい,rouge
8,N4,走,ソウ,はしる,courir
8,N4,起,キ,おきる / おこす,se lever / se réveiller / réveiller
8,N5,足,ソク,あし / たりる / たす,jambe / être suffisant / ajouter
8,N5,車,シャ,くるま,véhicule / voiture
8,N4,転,テン,ころぶ / まろぶ,tourner / rouler
8,N4,軽,ケイ,かるい,léger / sans importance
8,N4,近,キン / コン,ちかい,proche / récent
8,N4,送,ソウ,おくる,envoyer / expédier / escorter
8,N4,通,ツウ / ツ,とおる / とおり / かよう,circulation / rue / trajet (travail)
8,N5,週,シュウ,-,semaine
8,N4,進,シン,すすむ,avancer / progresser
8,N4,運,ウン,はこぶ,transporter / destin / chance
8,N5,道,ドウ,みち,voie / route / chemin
8,N4,遠,エン / オン,とおい,loin / distant
8,N4,都,ト / ツ,みやこ,capitale / métropôle
8,N4,重,ジュウ / チョウ,おもい,lourd
8,N4,野,ヤ,の,campagne / plaine / champ
8,N5,金,キン / コン,かね,or
8,N4,銀,ギン,しろがね,argent (minerai)
8,N5,長,チョウ,ながい,chef / long
8,N4,門,モン,かど / と,porte / entrée / portail
8,N4,開,カイ,ひらく / あく / あける,ouvrir / s'ouvrir
8,N5,間,カン,あいだ / ま,intervalle
9,N4,院,イン,-,vaste bâtiment public / résidence / hôpital
9,N4,集,シュウ,あつまる / あつめる,rassembler / réunir
9,N5,雨,ウ,あめ,pluie
9,N5,電,デン,-,électricité
9,N4,青,セイ / ショウ,あおい,bleu / vert / inexpérience
9,N4,音,オン / イン,おと,son / bruit
9,N4,頭,トウ / ズ,あたま,tête / compteur pour les gros animaux
9,N4,題,ダイ,-,sujet / thème
9,N4,顔,ガン,かお,visage / face
9,N4,風,フウ / フ,かぜ,vent / air / apparence / manière
9,N5,食,ショク,たべる,manger / nourriture
9,N4,飯,ハン,めし,riz cuit / repas
9,N5,飲,イン / オン,のむ,boire / boisson
9,N4,館,カン,やかた / たて,grand bâtiment / résidence
9,N4,首,シュ,くび,cou / compteur de chansons/poèmes
9,N5,駅,エキ,-,gare
9,N4,験,ケン / ゲン,あかし / しるし / ためす,examen / vérification
9,N5,高,コウ,たかい,haut / élevé / cher
9,N5,魚,ギョ,うお / さかな,poisson
9,N4,鳥,チョウ,とり,oiseau
9,N4,黒,コク,くろい,noir
